이름,전화번호,이메일,주소,생년월일
이정훈,070-6617-9722,li@naver.com,대전광역시 은평구 가락거리,19530224
강지아,043-429-5460,agim@naver.com,충청남도 양평군 테헤란로 (성호이이동),19920924
한미경,061-882-2232,bagjeongsug@baegang.com,부산광역시 동구 강남대5거리 (지현나마을),19661212
양현준,054-678-4661,geonucoe@jusighoesa.com,경상북도 안양시 압구정로,19930124
류예지,033-759-4732,doyunyun@yuhanhoesa.com,경상북도 시흥시 석촌호수길 (성호박김리),19830211
김은서,053-387-0791,zcoe@dreamwiz.com,대구광역시 성북구 역삼92가 (현숙박마을),19881226
최수민,044-142-5120,geonumun@ogimbag.com,부산광역시 서초구 언주길 (정자이김리),19800825
곽지훈,032-149-6356,ujingim@janghwangi.kr,강원도 춘천시 서초대35거리,19701012
이승민,019-417-4172,ogsunnam@nate.com,충청남도 부천시 원미구 개포87길 (명자박이동),20070329
이중수,044-609-0614,seonghun25@jusighoesa.com,인천광역시 용산구 논현8가,19571231
김상호,061-670-6360,coeyeweon@nate.com,충청북도 계룡시 강남대로 (예준한마을),19640827
김서영,018-536-8818,cgim@gimcoegim.com,강원도 보령시 언주35가 (광수오김리),19501027
황서윤,044-477-2374,jjo@daum.net,전라북도 인제군 도산대길,19740827
이우진,042-763-6732,aneunju@nate.com,전라남도 안산시 단원구 테헤란979길,19880712
김예지,016-583-0002,nyang@ju.org,전라북도 청주시 흥덕구 서초중앙325거리 (준혁진이리),19870815
김민석,041-678-3500,byeongceoli@live.com,경기도 청주시 상당구 서초대가,19620917
정도윤,016-703-6954,hwangyeongil@yu.com,경상북도 의정부시 언주410길,19600625
최영식,064-776-5601,yunseoson@daum.net,충청남도 수원시 영통구 강남대15거리 (수빈윤신마을),19981109
이유진,042-704-5251,gimsanghyeon@daum.net,경상남도 수원시 영통구 영동대로,19880529
오혜진,019-363-9752,hyeonjeong83@hanmail.net,전라남도 부천시 오정구 잠실015거리 (도현강이동),19620306
이상철,010-5716-8861,leom@gimi.net,서울특별시 종로구 가락거리 (지연장면),20051029
윤수빈,019-382-4906,seoyun45@dreamwiz.com,강원도 동해시 역삼037가 (영일이읍),19970204
성경숙,054-861-8374,si@gmail.com,제주특별자치도 광주시 언주길,19650315
이민재,010-4802-3623,ogjabag@ango.net,세종특별자치시 동구 도산대가,19500214
박상철,010-8712-1801,ogjabag@nau.net,전라북도 옥천군 역삼길 (지민권동),19690525
김예원,062-298-4092,juweon48@naver.com,경기도 평창군 백제고분가,19540323
이민수,052-559-6696,seungmingim@hotmail.com,제주특별자치도 괴산군 삼성64가,19741224
박지우,043-471-0391,ryuyeongsu@hotmail.com,전라남도 금산군 압구정009길,19460223
이지은,055-755-1961,gyeongsubag@seomun.kr,전라남도 안산시 단원구 서초중앙길,19700825
박은서,044-006-9028,oi@ju.com,광주광역시 강서구 백제고분41가 (지원박마을),19880220
조영자,042-962-1912,yeongja16@naver.com,부산광역시 관악구 서초대100로 (지우이리),19741019
이지은,032-693-0360,ugim@ison.org,세종특별자치시 북구 잠실길,19471124
최민지,032-974-4436,bageunseo@yu.com,대전광역시 종로구 테헤란91로,19870504
김성진,063-788-1157,jjeong@live.com,인천광역시 광진구 서초대21길,19970320
이영호,018-184-9457,ogja97@nate.com,제주특별자치도 수원시 영통구 영동대80길,19961105
박아름,016-380-8810,noseonghun@naver.com,경상남도 괴산군 압구정375길 (윤서박읍),19631012
한정순,011-730-7992,seoyeong69@hotmail.com,경상북도 구리시 개포33거리 (미정문면),19790203
김순옥,017-253-2482,sbag@yu.net,세종특별자치시 북구 양재천가,19860909
김준혁,053-003-3928,gimujin@dreamwiz.com,전라남도 청주시 서원구 도산대0거리 (윤서강마을),19961122
최승현,063-531-1180,baeyeongil@gmail.com,광주광역시 용산구 테헤란983거리,19730316
백예준,044-223-4742,minjunbae@live.com,충청남도 논산시 영동대가,19760322
권지아,032-949-3023,fgim@yu.net,충청남도 예산군 오금315가 (정훈최이면),19851216
김영미,011-182-7264,ogsuni@igim.org,경상북도 천안시 서북구 잠실길 (재호박마을),20010921
김서영,032-186-1872,yeongilgim@isoncoe.kr,충청남도 정선군 논현로,19830129
조유진,064-796-9647,jeongho30@yuhanhoesa.net,경기도 평택시 반포대가,19941218
이재호,055-541-9175,jiai@ju.com,대구광역시 성동구 삼성153길 (미영이오리),19790731
김도현,017-283-9752,ni@jusighoesa.com,광주광역시 강동구 석촌호수5로,19570810
김광수,019-917-4948,yeongilgim@hotmail.com,충청남도 수원시 테헤란길 (정희송마을),19550409
